                                        ,Always Cooperate                        ,Always Cooperate                        
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
Total,0,2500

                                        ,Always Cooperate                        ,Tit For Tat                             
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
